DATAFLOW,LAST UPDATE,freq,unit,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG33,2014,58.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG33,2015,58.9,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG33,2016,57.9,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG33,2017,58.2,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG33,2018,57.2,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG33,2019,56.8,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG34,2013,41.2,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG34,2014,41.5,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG34,2015,41.9,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG34,2016,42.0,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG34,2017,41.3,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG34,2018,41.9,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG34,2019,40.7,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG4,2013,59.6,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG4,2014,61.3,
ESTAT:EDUC_UOE_ENRA14(1.0),14/12/21 23:00:00,A,RT,Y15-24,BG4,2015,62.2,
